                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1845,                 5.4307,                 2.5324,                0.64313,                0.42362,                0.45134,                0.20567,                   2.03,                 1.6285,                 1.5195,             0.00066548,             0.00066548,             0.00066548
                      2,                 1.8857,                 1.3578,                 1.3569,                0.78643,                0.48323,                0.56636,                 0.2954,                 1.6247,                 1.1204,                 1.2619,               0.001319,               0.001319,               0.001319
                      3,                 1.6538,                 1.1097,                  1.223,                 0.8159,                0.49709,                0.60934,                0.34292,                  1.545,                 1.0126,                 1.1786,              0.0019592,              0.0019592,              0.0019592
                      4,                 1.5406,                 1.0282,                 1.1758,                0.83857,                0.53258,                0.64034,                0.38838,                 1.3693,                0.92661,                 1.1262,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.497,                0.99257,                 1.1588,                0.80649,                0.55578,                0.65776,                 0.3802,                 1.4037,                0.92645,                 1.1171,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3951,                0.93708,                 1.1216,                0.82871,                0.55891,                0.67484,                0.41959,                 1.2541,                0.84927,                 1.0771,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.373,                0.91637,                 1.1123,                0.80422,                0.58195,                0.68979,                0.42155,                 1.2389,                 0.8096,                 1.0674,               0.001901,               0.001901,               0.001901
                      8,                 1.3302,                0.86525,                 1.0919,                0.85725,                0.58802,                0.71464,                0.45846,                 1.1761,                0.77544,                 1.0497,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.315,                0.86489,                 1.0902,                0.82151,                 0.6066,                0.71694,                0.43512,                   1.24,                0.87233,                  1.073,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.293,                0.83447,                 1.0793,                0.80866,                0.61242,                0.71635,                0.43875,                 1.2376,                0.80166,                  1.061,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2663,                0.80876,                  1.064,                0.84105,                0.62462,                 0.7476,                0.47634,                 1.1517,                0.74917,                 1.0415,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2517,                 0.8017,                 1.0618,                0.83794,                 0.6346,                0.74967,                0.48243,                 1.1266,                0.72857,                  1.035,               0.001802,               0.001802,               0.001802
                     13,                 1.2515,                0.80986,                 1.0613,                0.84223,                0.65706,                 0.7599,                0.49481,                 1.0948,                0.70785,                 1.0264,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2216,                0.77548,                 1.0574,                 0.8482,                0.64735,                0.76519,                0.47241,                 1.1806,                0.70829,                 1.0306,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2164,                0.77822,                  1.045,                0.86001,                0.66759,                0.78483,                0.48949,                 1.1442,                0.70423,                 1.0274,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1961,                0.76423,                 1.0457,                0.85313,                0.68925,                0.79913,                0.50852,                 1.0637,                0.65081,                 1.0057,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1734,                0.74187,                 1.0448,                0.86004,                0.68977,                 0.8003,                0.51234,                 1.0807,                0.68091,                 1.0116,               0.001703,               0.001703,               0.001703
                     18,                 1.1732,                 0.7435,                 1.0297,                0.83664,                0.68617,                0.79448,                0.51588,                 1.0889,                 0.6769,                 1.0128,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1546,                0.72806,                 1.0287,                0.85244,                0.67266,                0.78375,                  0.514,                 1.0601,                0.69248,                 1.0042,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1498,                 0.7204,                 1.0311,                0.85345,                 0.7104,                0.81793,                0.54065,                 1.0008,                0.61581,                0.98971,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1503,                0.72762,                 1.0362,                0.86093,                 0.7125,                0.81936,                 0.5386,                  1.013,                0.61922,                0.98758,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1571,                0.73059,                 1.0342,                0.84347,                0.71084,                0.81329,                0.53175,                 1.0554,                0.62284,                0.99508,               0.001604,               0.001604,               0.001604
                     23,                 1.1405,                0.72226,                 1.0262,                0.85856,                0.71805,                0.82207,                0.52768,                 1.0438,                0.64179,                0.99725,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1466,                0.72808,                  1.034,                0.84022,                0.73767,                0.83112,                0.54339,                  1.016,                0.60952,                0.98604,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1433,                0.71645,                 1.0289,                0.85693,                0.71569,                 0.8272,                0.53869,                 1.0235,                0.62264,                0.99182,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1127,                0.69845,                 1.0169,                0.86803,                0.71722,                0.82132,                0.54431,                  1.017,                0.61859,                0.98398,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1134,                0.69616,                 1.0175,                0.89127,                0.73136,                0.83988,                0.55172,                0.98872,                0.59721,                0.98531,               0.001505,               0.001505,               0.001505
                     28,                 1.1303,                0.70241,                 1.0297,                0.85862,                0.72775,                0.83215,                0.55057,                 1.0402,                0.59918,                0.98865,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1106,                0.68325,                 1.0205,                0.85539,                0.73108,                0.83314,                0.53927,                 1.0094,                0.58995,                0.98311,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0901,                0.67227,                 1.0058,                0.85325,                0.73856,                0.83844,                0.54544,                  1.024,                0.58951,                0.98907,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0809,                0.66964,                 1.0042,                0.86504,                0.72359,                0.83342,                0.54725,                 1.0177,                 0.5898,                 0.9923,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0852,                0.67278,                 1.0043,                0.88365,                0.70807,                0.83571,                0.53152,                 1.0486,                0.59724,                0.98696,               0.001406,               0.001406,               0.001406
